Date,Open,High,Low,Close,Volume
2/12/2008,153,153,147.125,151.044006,12814328
3/12/2008,150.5,152.75,142.5,144.569,17869336
4/12/2008,145,149.744003,143.544006,149.050003,11324040
5/12/2008,149,149,140.324997,141.811996,12210128
8/12/2008,144.399994,148.75,142.261993,144.718994,23661144
10/12/2008,148.113007,150.837006,144.886993,146.718994,22436400
11/12/2008,147.106003,147.212006,140.287994,141.863007,16501136
12/12/2008,140,140,134.649994,138.106003,13078352
15-12-2008,140,142.25,136.255997,137.787994,13738152
16-12-2008,137.875,141.625,135.630997,140.600006,8900720
17-12-2008,142.455994,147,140.375,142.694,24437040
18-12-2008,143.125,148.050003,143.125,147.130997,12669424
19-12-2008,147.636993,150,143.656006,148.912994,12520736
22-12-2008,150,150.625,145.761993,148.350006,8749184
23-12-2008,146.975006,148.75,145.449997,147.005997,7100208
24-12-2008,147.5,152.781006,145.962006,146.75,8551056
26-12-2008,144.630997,148.600006,138.125,138.656006,11889320
29-12-2008,138.755997,139.949997,133.125,139.218994,14264688
30-12-2008,140.25,141.731003,136.393997,140.988007,8457504
31-12-2008,141.875,142.375,137.886993,139.431,7221320
2/1/2009,145.625,145.625,140.475006,141.511993,9012080
5/1/2009,142.5,148.087006,142.462006,146.600006,11241232
6/1/2009,147.5,148.75,143.169006,146.069,11563864
7/1/2009,146.393997,149.694,143.199997,148.444,22538352
9/1/2009,148.261993,158.324997,146.25,150.425003,40182160
12/1/2009,143.955994,151.244003,142.281006,144.962006,31269176
13-01-2009,147.494003,155.300003,139.875,153.518997,43956656
14-01-2009,153.188004,164.25,153.188004,162.949997,41551264
15-01-2009,157.5,157.988007,151.875,156.462006,25359176
16-01-2009,157.25,159.238007,155,158.425003,12717272
19-01-2009,158.375,159.093994,155.069,157.755997,9543688
20-01-2009,155,157.125,153.75,156.468994,4974688
21-01-2009,153.875,156.438004,151.75,152.981003,7770736
22-01-2009,154.375,154.875,150.375,153.863007,8776080
23-01-2009,151.25,153.350006,148.819,150.580994,11625024
27-01-2009,152.375,157.5,151.875,156.511993,10507184
28-01-2009,157.875,162,156.25,160.837006,7187848
29-01-2009,161.25,164.875,160.875,163.768997,26001752
30-01-2009,162.625,164.25,160.875,163.330994,11631672
2/2/2009,161.5,162.125,158.494003,159.955994,16870008
3/2/2009,160.75,162.75,157.574997,160.311996,16125072
4/2/2009,160.625,163.274994,159.544006,160.205994,7574304
5/2/2009,160.75,161.875,154.688004,156.981003,17537624
6/2/2009,157.363007,162.175003,156,161.113007,14020016
9/2/2009,158.5,165,158.5,164.011993,11513640
10/2/2009,164.311996,165.625,161.875,163.550003,13367760
